Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 1541
Motion: sub10_clothesstand_039.pkl, Difficulty: 10.00
Motion: sub10_largebox_036.pkl, Difficulty: 10.00
Motion: sub12_largebox_000.pkl, Difficulty: 10.00
Motion: sub12_largebox_015.pkl, Difficulty: 10.00
Motion: sub12_plasticbox_016.pkl, Difficulty: 10.00
Motion: sub12_plasticbox_037.pkl, Difficulty: 10.00
Motion: sub12_tripod_031.pkl, Difficulty: 10.00
Motion: sub12_tripod_036.pkl, Difficulty: 10.00
Motion: sub12_tripod_038.pkl, Difficulty: 10.00
Motion: sub12_tripod_044.pkl, Difficulty: 10.00
Motion: sub12_tripod_046.pkl, Difficulty: 10.00
Motion: sub14_smallbox_022.pkl, Difficulty: 10.00
Motion: sub16_clothesstand_013.pkl, Difficulty: 10.00
Motion: sub16_clothesstand_014.pkl, Difficulty: 10.00
Motion: sub16_clothesstand_016.pkl, Difficulty: 10.00
Motion: sub16_clothesstand_018.pkl, Difficulty: 10.00
Motion: sub16_clothesstand_020.pkl, Difficulty: 10.00
Motion: sub1_plasticbox_038.pkl, Difficulty: 10.00
Motion: sub4_smallbox_018.pkl, Difficulty: 10.00
Motion: sub4_smallbox_019.pkl, Difficulty: 10.00
Motion: sub4_smallbox_021.pkl, Difficulty: 10.00
Motion: sub4_smallbox_041.pkl, Difficulty: 10.00
Motion: sub4_suitcase_018.pkl, Difficulty: 10.00
Motion: sub4_suitcase_023.pkl, Difficulty: 10.00
Motion: sub5_suitcase_023.pkl, Difficulty: 10.00
Motion: sub5_whitechair_014.pkl, Difficulty: 10.00
Motion: sub7_largebox_026.pkl, Difficulty: 10.00
Motion: sub8_plasticbox_020.pkl, Difficulty: 10.00
Motion: sub8_plasticbox_021.pkl, Difficulty: 10.00
Motion: sub8_smallbox_018.pkl, Difficulty: 10.00
Motion: sub8_smallbox_019.pkl, Difficulty: 10.00
Motion: sub8_smallbox_020.pkl, Difficulty: 10.00
Motion: sub8_smallbox_022.pkl, Difficulty: 10.00
Motion: sub8_trashcan_012.pkl, Difficulty: 10.00
Motion: ACCAD_Female1Gestures_c3d_D6-_CartWheel_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male1General_c3d_General_A11_-___Military_Crawl_Forward_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_stageii.pkl, Difficulty: 10.00
